hp,val_loss
16-16-32-8-0.01,0.02
32-16-64-16-0.01,0.02
32-16-32-16-0.005,0.02
16-16-32-8-0.005,0.02
16-8-32-8-0.005,0.02
16-8-32-16-0.005,0.02
32-8-32-16-0.01,0.02
32-8-64-8-0.005,0.02
16-16-64-8-0.005,0.02
64-32-96-4-0.005,0.02
64-24-96-2-0.005,0.02
16-8-64-8-0.005,0.02
64-24-96-6-0.005,0.02
96-24-128-4-0.005,0.02
32-16-32-8-0.005,0.02
32-16-32-8-0.01,0.02
32-8-32-8-0.005,0.02
96-24-128-6-0.005,0.02
32-8-64-8-0.01,0.02
64-24-96-4-0.005,0.02
32-8-64-16-0.01,0.02
64-24-128-4-0.005,0.02
32-8-32-16-0.005,0.02
32-8-32-16-0.005,0.02
96-32-128-4-0.005,0.0221
96-32-128-6-0.005,0.0245
96-24-96-4-0.005,0.0286
96-32-96-6-0.005,0.0291
32-16-32-16-0.01,0.03
16-8-64-16-0.005,0.03
16-8-64-16-0.005,0.03
96-24-128-2-0.005,0.03
64-24-128-2-0.005,0.03
32-16-64-8-0.005,0.03
32-16-64-8-0.01,0.03
32-16-64-8-0.01,0.03
16-8-32-16-0.01,0.03
32-8-64-8-0.001,0.03
32-8-64-16-0.001,0.03
32-8-64-16-0.005,0.03
16-16-32-16-0.01,0.03
16-16-64-16-0.005,0.03
16-16-64-16-0.005,0.03
32-16-32-8-0.005,0.03
32-8-64-8-0.01,0.03
16-16-64-16-0.001,0.03
32-8-32-16-0.01,0.03
16-16-64-16-0.01,0.03
16-16-64-16-0.01,0.03
16-8-32-16-0.005,0.03
32-8-32-8-0.001,0.03
32-16-64-16-0.005,0.03
16-16-32-16-0.005,0.03
32-16-64-16-0.005,0.03
16-8-32-8-0.01,0.03
16-8-32-8-0.01,0.03
16-8-64-8-0.01,0.03
16-16-32-16-0.005,0.03
64-32-128-4-0.005,0.03
16-8-64-16-0.01,0.03
16-8-64-8-0.001,0.03
64-32-96-6-0.005,0.03
16-16-64-8-0.01,0.03
16-16-64-8-0.01,0.03
16-16-64-8-0.005,0.03
16-8-64-16-0.01,0.03
32-8-32-8-0.01,0.03
32-16-32-16-0.001,0.03
16-16-32-8-0.01,0.03
16-8-64-8-0.005,0.03
32-8-64-16-0.005,0.03
16-16-32-16-0.01,0.03
64-24-128-6-0.005,0.03
32-16-32-16-0.01,0.03
32-16-32-16-0.005,0.03
96-32-96-2-0.005,0.0315
96-32-128-2-0.005,0.0335
96-24-96-6-0.005,0.0342
96-32-96-4-0.005,0.0379
32-8-64-16-0.01,0.04
32-16-64-16-0.01,0.04
16-16-32-8-0.005,0.04
64-32-128-2-0.005,0.04
16-8-32-8-0.001,0.04
32-16-32-8-0.001,0.04
64-32-96-2-0.005,0.04
16-16-64-16-0.001,0.04
16-8-64-8-0.01,0.04
64-32-128-6-0.005,0.04
96-24-96-2-0.005,0.04
32-8-64-8-0.005,0.04
32-16-64-16-0.001,0.04
32-16-64-8-0.005,0.04
16-8-32-16-0.001,0.04
32-16-32-8-0.01,0.05
32-16-32-8-0.001,0.05
16-16-32-16-0.001,0.05
16-8-32-8-0.005,0.05
32-8-32-8-0.005,0.05
16-8-64-16-0.001,0.05
16-8-32-16-0.01,0.05
16-8-64-16-0.001,0.05
16-16-64-8-0.001,0.05
32-16-64-8-0.001,0.05
16-8-32-8-0.001,0.05
16-16-64-8-0.001,0.06
32-16-64-8-0.001,0.06
32-8-32-8-0.01,0.06
32-8-32-16-0.001,0.06
32-8-32-8-0.001,0.07
32-16-64-16-0.001,0.07
16-16-32-8-0.001,0.07
16-16-32-8-0.001,0.08
32-16-32-16-0.001,0.09
16-8-64-8-0.001,0.09
32-8-32-16-0.001,0.09
32-8-64-16-0.001,0.11
16-8-32-16-0.001,0.13
32-8-64-8-0.001,0.15
16-16-32-16-0.001,0.19
